group_id,dataset,m,n,s,seed,method,UB,Time (s),SGap (%)
8,a7a,16100,123,10,24,AGP,0.3492564141660691,2.607840061187744,0.0
8,a7a,16100,123,10,24,IHT,0.37286072362415873,7.666485071182251,6.756512404225997
8,a7a,16100,123,10,24,PSS,0.3665630874597264,35.16557502746582,4.953873062548212
8,a7a,16100,123,10,25,AGP,0.3582387183198391,6.252007961273193,0.0
8,a7a,16100,123,10,25,IHT,0.37606953402705895,7.884735107421875,4.975966814533491
8,a7a,16100,123,10,25,PSS,0.3655378593297339,35.856300830841064,2.0369389733039927
8,a7a,16100,123,10,26,AGP,0.35470382860834876,5.848242998123169,0.0
8,a7a,16100,123,10,26,IHT,0.37958127910718753,7.79555606842041,7.011607117210626
8,a7a,16100,123,10,26,PSS,0.36059229290625555,36.60919117927551,1.6596394466776716
8,a7a,16100,123,10,27,AGP,0.35112484101523994,2.6551530361175537,0.0
8,a7a,16100,123,10,27,IHT,0.3796921302407053,7.819087028503418,8.133618665151822
8,a7a,16100,123,10,27,PSS,0.35361145681635153,31.445723056793213,0.7079840349343898
9,a7a,16100,123,20,23,AGP,0.33960893520266144,8.060181856155396,0.0
9,a7a,16100,123,20,23,IHT,0.3597713052972289,6.979862928390503,5.935189806691163
9,a7a,16100,123,20,23,PSS,0.34410206578285607,75.70087885856628,1.3226412715680096
9,a7a,16100,123,20,24,AGP,0.33848857239850805,4.778985023498535,0.0
9,a7a,16100,123,20,24,IHT,0.34919718513471176,7.754318952560425,3.162721252033284
9,a7a,16100,123,20,24,PSS,0.34307624305870826,192.79972386360168,1.3549396034549779
9,a7a,16100,123,20,25,AGP,0.3373793781366594,6.904646873474121,0.0
9,a7a,16100,123,20,25,IHT,0.3604997726332526,7.7831830978393555,6.850905861048136
9,a7a,16100,123,20,25,PSS,0.3447099439292977,87.64905285835266,2.172152216562948
9,a7a,16100,123,20,26,AGP,0.337083813269647,8.297177076339722,0.0
9,a7a,16100,123,20,26,IHT,0.36076912207571354,7.802880048751831,7.02445012896433
9,a7a,16100,123,20,26,PSS,0.3418963823034644,98.45906615257263,1.4272835303540536
9,a7a,16100,123,20,27,AGP,0.3408300878134113,4.0628111362457275,0.0
9,a7a,16100,123,20,27,IHT,0.3566257855038913,7.628514051437378,4.6331192977971725
9,a7a,16100,123,20,27,PSS,0.3417387945286803,98.90722393989563,0.2665375535192778
10,a8a,22696,123,5,23,AGP,0.3781769788523753,1.1966438293457031,1.609870572942756
10,a8a,22696,123,5,23,IHT,0.40565692490693783,10.553596019744873,8.991323629977018
10,a8a,22696,123,5,23,PSS,0.37218369322724537,22.117237091064453,0.0
10,a8a,22696,123,5,24,AGP,0.37817697883517915,1.3169751167297363,1.6098870715770424
10,a8a,22696,123,5,24,IHT,0.40475113158191345,11.085474014282227,8.7480340133581
10,a8a,22696,123,5,24,PSS,0.37218363276175037,15.590235948562622,0.0
10,a8a,22696,123,5,25,AGP,0.3909436149763527,2.3477120399475098,5.039156703657124
10,a8a,22696,123,5,25,IHT,0.5028395095409987,9.767366170883179,35.095779426885834
10,a8a,22696,123,5,25,PSS,0.3721836580643815,15.220022916793823,0.0
10,a8a,22696,123,5,26,AGP,0.3781769788273996,0.858752965927124,1.6098752731979546
10,a8a,22696,123,5,26,IHT,0.5100758933316054,10.612046003341675,37.039555115168284
10,a8a,22696,123,5,26,PSS,0.3721836759816191,13.629382133483887,0.0
10,a8a,22696,123,5,27,AGP,0.39181321349012577,1.1055009365081787,5.272744503027276
